,CAAB,Class,Order,Family,Subfamily,Genus,Species,Global.Region,Australian.common.name,Marine.region,Length.measure,a,b,aLL,bLL,Source,Source_Level,Local.region,Feeding.guild,EPBC.Threat.Status,IUCN.Ranking,FB.Vulnerability,FB.countries,FB.Status,FB.Length_MAX,FB.LTypeMaxM,RLS.trophic.level,RLS.trophic.breadth,RLS.trophic.group,RLS.water.column,RLS.substrate.type,RLS.complexity,RLS.night.day,RLS.gregariousness,RLS.thermal.niche,RLS.vulnerability,Fishing.mortality,Fishing.type,Fishing.intensity,MinLegal.NT,MaxLegal.NT,Bag.NT,MinLegal.WA,MaxLegal.WA,Bag.WA,MinLegal.QLD,MaxLegal.QLD,Bag.QLD,MinLegal.NSW,MaxLegal.NSW,Bag.NSW,MinLegal.Vic,MaxLegal.Vic,Bag.Vic,MinLegal.SA,MaxLegal.SA,Bag.SA,MinLegal.Tas,MaxLegal.Tas,Bag.Tas
Chromis mirationis,37372048,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chromis,mirationis,Australia,Japanese puller,SW/NW,TL,0.0182,3,0,1.04527,FishBase,LWR estimates for this Genus-body shape,West/Southwest,,,,26.28,Australia/China/Japan/New.Caledonia,native,110,SL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Chromis nigrura,37372147,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chromis,nigrura,Australia,Blacktail chromis,Christmas.Island/Cocos.Keeling,SL,0.00443,3,,,FishBase,Species specific,,,,,12.47,,,60,TL,3.4,3.3,planktivore,Demersal,Hard bottom,Medium,Day,3,,12,N,,,,,,,,,,,,,,,,,,,,,,,
Chromis nitida,37372049,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chromis,nitida,Australia,Yellowback puller,CS/N/SW/TE,TL,0.01479,2.98,0,1.14971,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest/SEQ,,,,17.15,Australia/New.Caledonia,native,70,SL,2.7,3.3,planktivore,Demersal,Hard bottom,Medium,Day,3,22.65842,17,N,,,,,,,,,,,,,,,,,,,,,,,
Chromis opercularis,37372148,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chromis,opercularis,Australia,Doublebar chromis,Cocos.Keeling/Christmas.Island,TL,0.01479,2.98,0,1.22793,FishBase,LWR estimates for this (Sub)family-body shape,,,,,28.25,"Australia/Sri.Lanka/Christmas.Island/Cocos.(Keeling).Islands/India/Indonesia/Madagascar/Maldives/Mauritius/Mozambique/Vanuatu/R̩union/Seychelles/South.Africa/Tanzania,.United.Republic.of",native,170,TL,2.7,3.3,planktivore,Demersal,Hard bottom,Medium,Day,3,,27,N,,,,,,,,,,,,,,,,,,,,,,,
Chromis retrofasciata,37372050,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chromis,retrofasciata,Philippines,Blackbar puller,CS/N,FL,0.009,2.773,0,1,FishBase,Species specific,Negros,zooplanktivore,,,14.62,Australia/Solomon.Islands/Brunei.Darussalam/Fiji/Indonesia/Japan/Malaysia/New.Caledonia/Vanuatu/Palau/Papua.New.Guinea/Philippines/Tonga,native,60,SL,2.7,3.3,planktivore,Demersal,Hard bottom,Medium,Day,2,26.89823,11,N,,,,,,,,,,,,,,,,,,,,,,,
Chromis ternatensis,37372051,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chromis,ternatensis,Philippines/Australia,Swallowtail puller,NW/CS/Lord.Howe.Island/Christmas.Island/Cocos.Keeling,FL,0.043,2.889,0,1,FishBase,Species specific,Negros,zooplanktivore,,,21.88,"Australia/Solomon.Islands/Cambodia/Sri.Lanka/China/Christmas.Island/Cocos.(Keeling).Islands/Comoros/Fiji/Guam/India/Indonesia/Japan/Jordan/Madagascar/Maldives/Mozambique/New.Caledonia/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/R̩union/Seychelles/Viet.Nam/Thailand/Tonga/Tanzania,.United.Republic.of/Samoa/Yemen",native,105,TL,3.4,3.3,planktivore,Demersal,Hard bottom,Medium,Day,3,26.43751,21,N,,,,,,,,,,,,,,,,,,,,,,,
Chromis viridis,37372053,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chromis,viridis,Australia,Blue-green puller,NW/SW/N/CS/Lord.Howe.Island/Cocos.Keeling,FL,0.0642,2.518,0,1,FishBase,Species specific,Ningaloo/Pilbara,algae/invertebrate consumer,,,20.93,"American.Samoa/Australia/Solomon.Islands/China/Comoros/Cook.Islands/Fiji/French.Polynesia/Kiribati/Guam/India/Indonesia/Israel/Japan/Jordan/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/New.Caledonia/Vanuatu/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/R̩union/Seychelles/Viet.Nam/Somalia/Thailand/Tonga/Egypt/Tanzania,.United.Republic.of/Samoa",native,100,TL,2.5,3.3,planktivore,Demersal,Hard bottom,Medium,Day,3,25.70119,16,N,,,,,,,,,,,,,,,,,,,,,,,
Chromis weberi,37372054,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chromis,weberi,Australia,Weber's puller,NW/TE/N/CS/SE/Christmas.Island,SL,0.03906,3,,,FishBase,Species specific,Ningaloo/Pilbara/Timor/Negros/SEQ,invertebrate carnivore,,,24.75,"Australia/Solomon.Islands/Sri.Lanka/Christmas.Island/Comoros/Cook.Islands/Fiji/Kiribati/Guam/India/Indonesia/Japan/Jordan/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Vanuatu/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/R̩union/Seychelles/Viet.Nam/Somalia/South.Africa/Thailand/Tonga/Egypt/Tanzania,.United.Republic.of/Samoa/Yemen",native,135,TL,3.4,3.3,planktivore,Demersal,Hard bottom,Medium,Day,3,25.70388,25,N,,,,,,,,,,,,,,,,,,,,,,,
Chromis westaustralis,37372055,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chromis,westaustralis,Australia,West Australian puller,NW/SW,TL,0.01479,2.98,,,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest,,,,22.08,Australia,native,85,SL,2.7,3.3,planktivore,Demersal,Hard bottom,Medium,Day,3,21.02122,22,N,,,,,,,,,,,,,,,,,,,,,,,
Chromis xanthochira,37372056,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chromis,xanthochira,Australia,Yellow-axil puller,CS/NW/Christmas.Island/N,TL,0.0182,3,0,1.33481,FishBase,LWR estimates for this Genus-body shape,,,,,25.07,Australia/Solomon.Islands/Christmas.Island/Guam/Hong.Kong/Indonesia/New.Caledonia/Vanuatu/Micronesia.(Federated.States.of)/Palau/Papua.New.Guinea/Philippines/Viet.Nam,native,140,TL,2.7,3.3,planktivore,Demersal,Hard bottom,Medium,Day,3,26.54076,25,N,,,,,,,,,,,,,,,,,,,,,,,
Chromis xanthura,37372057,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chromis,xanthura,Philippines/Australia,Pale-tail puller,CS/N,TL,0.009,2.773,0,1.29892,FishBase,Species specific,Negros,zooplanktivore,,,28.25,American.Samoa/Australia/China/Christmas.Island/Cocos.(Keeling).Islands/Cook.Islands/Fiji/French.Polynesia/Kiribati/Guam/Indonesia/Japan/New.Caledonia/Vanuatu/Niue/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/Viet.Nam/Tonga/Samoa,native,170,TL,3.4,3.3,planktivore,Demersal,Hard bottom,Medium,Day,3,26.69527,26,N,,,,,,,,,,,,,,,,,,,,,,,
Chrysiptera biocellata,37372058,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chrysiptera,biocellata,Australia,Twospot demoiselle,NW,TL,0.02388,3,0,1.05565,FishBase,Species specific,Ningaloo/Pilbara,herbivore,,,19.01,"Australia/Sri.Lanka/China/Cocos.(Keeling).Islands/Kiribati/Guam/India/Indonesia/Japan/Kenya/Maldives/Mozambique/New.Caledonia/Niue/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Seychelles/Viet.Nam/Thailand/Tonga/Tanzania,.United.Republic.of/Samoa",native,125,TL,2,3.8,Browsing herbivore,Demersal,Hard bottom,Medium,Day,2,,19,N,,,,,,,,,,,,,,,,,,,,,,,
Chrysiptera caeruleolineata,37372059,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chrysiptera,caeruleolineata,Australia,Blueline demoiselle,NW,TL,0.01479,2.98,0,1.05097,FishBase,LWR estimates for this (Sub)family-body shape,,,,,12.47,Australia/Solomon.Islands/Fiji/Guam/Indonesia/Japan/Niue/Micronesia.(Federated.States.of)/Marshall.Islands/Papua.New.Guinea/Philippines/Viet.Nam/Samoa,native,60,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Chrysiptera cyanea,37372060,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chrysiptera,cyanea,Australia,Blue demoiselle,CS/N/SW,TL,0.01479,2.98,0,1.01015,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest,,,,17.13,American.Samoa/Australia/Solomon.Islands/Fiji/India/Indonesia/Japan/New.Caledonia/Vanuatu/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Palau/Papua.New.Guinea/Philippines/Viet.Nam/Thailand/Samoa,native,85,TL,2.5,4,Browsing herbivore,Demersal,Hard bottom,Medium,Day,2,26.793,17,N,,,,,,,,,,,,,,,,,,,,,,,
Chrysiptera flavipinnis,37372061,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chrysiptera,flavipinnis,Australia,Yellowfin demoiselle,CS/N/SW/TE,TL,0.01479,2.98,0,1.07554,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest/SEQ,,,Least Concern,16.21,Australia/Solomon.Islands/New.Caledonia/Papua.New.Guinea/Viet.Nam,native,80,TL,2.7,3.8,Browsing herbivore,Demersal,Hard bottom,Medium,Day,2,24.91725,16,N,,,,,,,,,,,,,,,,,,,,,,,
Chrysiptera glauca,37372062,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chrysiptera,glauca,Australia,Grey demoiselle,NW,TL,0.02166,3,0,1.03945,FishBase,Species specific,Ningaloo/Pilbara,herbivore,,,16.69,Australia/Solomon.Islands/Sri.Lanka/China/Christmas.Island/Cocos.(Keeling).Islands/Cook.Islands/Fiji/French.Polynesia/Kiribati/Guam/India/Indonesia/Japan/Madagascar/Malaysia/Maldives/Mauritius/New.Caledonia/Niue/Norfolk.Island/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Pitcairn/R̩union/Seychelles/Viet.Nam/South.Africa/Thailand/Tonga/Samoa,native,115,TL,2.4,5,Browsing herbivore,Demersal,Hard bottom,Medium,Day,2,26.802,17,N,,,,,,,,,,,,,,,,,,,,,,,
Chrysiptera hemicyanea,37372063,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chrysiptera,hemicyanea,Australia,Azure demoiselle,SW/NW,TL,0.01479,2.98,0,1.07091,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest,,,,14.21,Australia/Indonesia/Japan/Malaysia/Papua.New.Guinea,native,70,TL,2.653982,3.8,planktivore,Demersal,Hard bottom,Medium,Day,2,,16,N,,,,,,,,,,,,,,,,,,,,,,,
Chrysiptera notialis,37372065,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chrysiptera,notialis,Australia,Southern demoiselle,TE,TL,0.01479,2.98,0,1.14833,FishBase,LWR estimates for this (Sub)family-body shape,,,,,18.89,Australia/New.Caledonia/Norfolk.Island,native,90,TL,2.7,3.8,Browsing herbivore,Demersal,Hard bottom,Medium,Day,2,21.87172,19,N,,,,,,,,,,,,,,,,,,,,,,,
Chrysiptera rex,37372066,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chrysiptera,rex,Australia,Pink demoiselle,NW,TL,0.01479,2.98,0,1.03813,FishBase,LWR estimates for this (Sub)family-body shape,Ningaloo/Pilbara/Timor,herbivore,,,14.21,Australia/Solomon.Islands/Indonesia/Japan/Malaysia/New.Caledonia/Vanuatu/Palau/Papua.New.Guinea/Philippines/Viet.Nam,native,70,TL,2.5,4,Browsing herbivore,Demersal,Hard bottom,Medium,Day,2,26.522,14,N,,,,,,,,,,,,,,,,,,,,,,,
Chrysiptera rollandi,37372067,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chrysiptera,rollandi,Philippines/Australia,Bluehead demoiselle,NW/N/CS,TL,0.01479,2.98,0,1.04498,FishBase,LWR estimates for this (Sub)family-body shape,Negros,zooplanktivore,,,15.01,Australia/Solomon.Islands/Indonesia/New.Caledonia/Vanuatu/Palau/Papua.New.Guinea/Philippines/Viet.Nam/Thailand/Tonga,native,75,TL,2.7,3.8,Browsing herbivore,Demersal,Hard bottom,Medium,Day,2,26.56041,15,N,,,,,,,,,,,,,,,,,,,,,,,
Chrysiptera talboti,37372069,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chrysiptera,talboti,Australia,Talbot's demoiselle,CS,TL,0.01479,2.98,0,1.04371,FishBase,LWR estimates for this (Sub)family-body shape,,,,,12.47,Australia/Solomon.Islands/Fiji/Indonesia/Malaysia/New.Caledonia/Vanuatu/Palau/Papua.New.Guinea/Philippines/Viet.Nam/Thailand/Tonga,native,60,TL,2.8,3.8,Browsing herbivore,Demersal,Hard bottom,Medium,Day,2,26.70261,12,N,,,,,,,,,,,,,,,,,,,,,,,
Chrysiptera tricincta,37372071,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chrysiptera,tricincta,Australia,Threeband demoiselle,CS/TE,TL,0.01479,2.98,,,FishBase,LWR estimates for this (Sub)family-body shape,,,,,12.47,Australia/Fiji/Guam/Indonesia/Japan/New.Caledonia/Philippines/Tonga/Samoa,native,60,TL,2.7,3.8,Browsing herbivore,Demersal,Hard bottom,Medium,Day,2,,12,N,,,,,,,,,,,,,,,,,,,,,,,
Chrysiptera unimaculata,37372072,Actinopterygii,Perciformes,Pomacentridae,Pomacentrinae,Chrysiptera,unimaculata,Australia,Onespot demoiselle,NW/CS/Christmas.Island,TL,0.01479,2.98,0,1,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest,,,Least Concern,20.93,"Australia/Solomon.Islands/Sri.Lanka/Christmas.Island/Fiji/India/Indonesia/Iran.(Islamic.Republic.of)/Japan/Jordan/Madagascar/Malaysia/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/Vanuatu/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/R̩union/Seychelles/Viet.Nam/South.Africa/Thailand/Tonga/Egypt/Tanzania,.United.Republic.of/Yemen",native,100,TL,2.1,2,Browsing herbivore,Demersal,Hard bottom,Medium,Day,2,,21,N,,,,,,,,,,,,,,,,,,,,,,,
Chrysophrys auratus,37353001,Actinopterygii,Perciformes,Sparidae,,Chrysophrys,auratus,Australia,snapper,SW/NW/CS/TE/Lord.Howe.Island/Norfolk.Island/SE,FL,0.04467,2.793,0,1,FishBase,Species specific,South-East/West/Southwest/SEQ/NSW/PSGLMP/NA,demersal invertivore/generalist carnivore,,Least Concern,69.12,Australia/China/Hong.Kong/Indonesia/Japan/New.Zealand/Norfolk.Island/Philippines,native,1300,TL,3.3,4.333333,benthic invertivore,Demersal,Hard bottom,Low,Day,2,19.75909,69,Y,C/R,,,,,410,,Y,350,,Y,300,,Y,280,,Y,380,,Y,300,,Y
Cirrhilabrus bathyphilus,37384193,Actinopterygii,Perciformes,Labridae,Cheilininae,Cirrhilabrus,bathyphilus,Australia,Deepwater wrasse,CS,TL,0.0166,2.95,,,FishBase,LWR estimates for this (Sub)family-body shape,,,,Least Concern,16.21,Australia/New.Caledonia,native,76,SL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Cirrhilabrus cyanopleura,37384079,Actinopterygii,Perciformes,Labridae,Cheilininae,Cirrhilabrus,cyanopleura,Australia,Blueside wrasse,NW,TL,0.0166,2.95,0,1,FishBase,LWR estimates for this (Sub)family-body shape,Ningaloo/Pilbara/Timor/Negros,invertebrate carnivore,,Data Deficient,29.04,Australia/Christmas.Island/Indonesia/Japan/Palau/Papua.New.Guinea/Philippines/Viet.Nam/Thailand,native,150,SL,3.4,3.697368,benthic invertivore,Demersal,Hard bottom,Low,Day,2,,30,N,,,,,,,,Y,,,,,,,,,,,,,,,
Cirrhilabrus exquisitus,37384080,Actinopterygii,Perciformes,Labridae,Cheilininae,Cirrhilabrus,exquisitus,Australia,Exquisite wrasse,NW/CS/Christmas.Island/Cocos.Keeling,TL,0.0166,2.95,0,1.021855,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest/Timor,,,Data Deficient,25.41,"Australia/Solomon.Islands/Christmas.Island/Cocos.(Keeling).Islands/French.Polynesia/Kiribati/India/Indonesia/Japan/Kenya/Madagascar/Maldives/Mauritius/Mozambique/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Papua.New.Guinea/Philippines/Seychelles/Viet.Nam/Somalia/South.Africa/Tonga/Tanzania,.United.Republic.of/Yemen",native,120,SL,3.4,3.697368,benthic invertivore,Demersal,Hard bottom,Low,Day,2,26.74711,27,N,,,,,,,,Y,,,,,,,,,,,,,,,
Cirrhilabrus katherinae,,Actinopterygii,Perciformes,Labridae,Cheilininae,Cirrhilabrus,katherinae,Philippines,,,TL,0.0166,2.95,0,1,FishBase,LWR estimates for this (Sub)family-body shape,Negros,zooplanktivore,,Least Concern,15.01,,,71,SL,3.3,3.697368,benthic invertivore,Demersal,Hard bottom,Low,Day,2,,16,N,,,,,,,,,,,,,,,,,,,,,,,
Cirrhilabrus lineatus,37384082,Actinopterygii,Perciformes,Labridae,,Cirrhilabrus,lineatus,Australia,Lavender wrasse,CS/N,TL,0.0166,2.95,0,1,FishBase,LWR estimates for this (Sub)family-body shape,,,,Least Concern,21.39,Australia/New.Caledonia,native,120,TL,3.4,3.697368,benthic invertivore,Demersal,Hard bottom,Low,Day,2,26.866,23,N,,,,,,,,,,,,,,,,,,,,,,,
Cirrhilabrus lubbocki,,Actinopterygii,Perciformes,Labridae,Cheilininae,Cirrhilabrus,lubbocki,Philippines,,,TL,0.0166,2.95,0,1,FishBase,LWR estimates for this (Sub)family-body shape,Negros,zooplanktivore,,Least Concern,14.21,,,80,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Cirrhilabrus morrisoni,37384189,Actinopterygii,Perciformes,Labridae,Cheilininae,Cirrhilabrus,morrisoni,Australia,Morrison's wrasse,NW,TL,0.0166,2.95,,,FishBase,LWR estimates for this (Sub)family-body shape,Ningaloo/Pilbara/Timor,,,Least Concern,12.01,Australia,native,55,SL,,,,,,,,,,,N,,,,,,,,Y,,,,,,,,,,,,,,,
Cirrhilabrus punctatus,37384083,Actinopterygii,Perciformes,Labridae,Cheilininae,Cirrhilabrus,punctatus,Australia,Finespot wrasse,CS/SE/Lord.Howe.Island/TE/SW/NW,TL,0.0166,2.95,0,1,FishBase,LWR estimates for this (Sub)family-body shape,Ningaloo/Pilbara/Timor/Negros/NSW,zooplanktivore,,Least Concern,22.77,Australia/Fiji/New.Caledonia/Papua.New.Guinea/Tonga,native,130,TL,3.4,3.697368,benthic invertivore,Demersal,Hard bottom,Low,Day,2,24.21128,24,N,,,,,,,,Y,300,,,,,,,,,,,,,,
Cirrhilabrus randalli,37384186,Actinopterygii,Perciformes,Labridae,Cheilininae,Cirrhilabrus,randalli,Australia,Randall's wrasse,CS/N/NW,TL,0.01,3.04,,,FishBase,LWR estimates for this body shape,West/Southwest/Timor,,,Least Concern,18.8,Australia,native,84.5,SL,3.381818,3.697368,planktivore,pelagic site attached,Hard bottom,Low,Day,2,,22.5,N,,,,,,,,Y,,,,,,,,,,,,,,,
Cirrhilabrus roseafascia,37384218,Actinopterygii,Perciformes,Labridae,Cheilininae,Cirrhilabrus,roseafascia,Philippines,Pink-banded fairy wrasse,,TL,0.0166,2.95,0,1,FishBase,LWR estimates for this (Sub)family-body shape,Negros,zooplanktivore,,Least Concern,17.67,,,100,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Cirrhilabrus rubrimarginatus,,Actinopterygii,Perciformes,Labridae,Cheilininae,Cirrhilabrus,rubrimarginatus,Philippines,,,TL,0.0166,2.95,0,1,FishBase,LWR estimates for this (Sub)family-body shape,Negros,zooplanktivore,,Least Concern,25.64,,,122,SL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Cirrhilabrus temminckii,37384085,Actinopterygii,Perciformes,Labridae,Cheilininae,Cirrhilabrus,temminckii,Australia,Peacock wrasse,NW/SW/CS,TL,0.0166,2.95,0,1,FishBase,LWR estimates for this (Sub)family-body shape,Ningaloo/Pilbara/Timor,zooplanktivore,,Data Deficient,22.08,Australia/Indonesia/Japan/Korea.(Republic.of)/Papua.New.Guinea/Philippines/Viet.Nam,native,116,FL,3.4,3.697368,benthic invertivore,Demersal,Hard bottom,Low,Day,2,24.761,24,N,,,,,,,,Y,,,,,,,,,,,,,,,
Cirrhitichthys aprinus,37374001,Actinopterygii,Perciformes,Cirrhitidae,,Cirrhitichthys,aprinus,Australia,Blotched hawkfish,CS/N/NW/TE,TL,0.01585,3.01,0,1,FishBase,LWR estimates for this (Sub)family-body shape,Ningaloo/Pilbara/Timor/SEQ,generalist carnivore,,Least Concern,10,Australia/Solomon.Islands/China/Cocos.(Keeling).Islands/Fiji/Hong.Kong/Indonesia/Japan/Korea.(Republic.of)/Maldives/New.Caledonia/Micronesia.(Federated.States.of)/Palau/Papua.New.Guinea/Philippines/South.Africa,native,125,TL,3.5,2.75,benthic invertivore,benthic,Hard bottom,Medium,Day,1,21.86659,10,N,,,,,,,,,,,,,,,,,,,,,,,
Cirrhitichthys falco,37374003,Actinopterygii,Perciformes,Cirrhitidae,,Cirrhitichthys,falco,Australia,Dwarf hawkfish,NW/SW,TL,0.0172,2.977,0,1.02321,FishBase,Species specific,West/Southwest/Ningaloo/Pilbara/Timor/Negros/West/Southwest/Ningaloo/Pilbara/Timor/Negros,,,Least Concern,10,Australia/Fiji/Guam/Indonesia/Japan/Malaysia/Maldives/New.Caledonia/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Palau/Papua.New.Guinea/Philippines/Seychelles/Viet.Nam/Tonga/Samoa,native,70,TL,4,2.75,benthic invertivore,benthic,Hard bottom,Medium,Day,1,24.52043,10,N,,,,,,,,,,,,,,,,,,,,,,,
Cirrhitichthys oxycephalus,37374004,Actinopterygii,Perciformes,Cirrhitidae,,Cirrhitichthys,oxycephalus,Australia,Spotted hawkfish,NW,TL,0.0138,3.117,0,1,FishBase,Species specific,Ningaloo/Pilbara/Timor,generalist carnivore,,Least Concern,10,"Australia/Christmas.Island/Cocos.(Keeling).Islands/Colombia/Costa.Rica/Ecuador/El.Salvador/French.Polynesia/Guam/Guatemala/Honduras/Indonesia/Israel/Japan/Jordan/Kenya/Madagascar/Maldives/Mexico/Mozambique/Oman/New.Caledonia/Nicaragua/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Panama/Papua.New.Guinea/Peru/Philippines/Viet.Nam/Somalia/South.Africa/Tonga/Egypt/Tanzania,.United.Republic.of/Yemen",native,100,TL,4,2.75,benthic invertivore,benthic,Hard bottom,Medium,Day,1,25.58283,10,N,,,,,,,,,,,,,,,,,,,,,,,
Cirripectes filamentosus,37408013,Actinopterygii,Perciformes,Blenniidae,Salariinae,Cirripectes,filamentosus,Australia,Filamentous blenny,NW,TL,0.00741,3,0,1,FishBase,LWR estimates for this (Sub)family-body shape,Ningaloo/Pilbara,herbivore,,Least Concern,19.23,Australia/Bahrain/Solomon.Islands/India/Indonesia/Kenya/Kuwait/Madagascar/Malaysia/Maldives/Oman/New.Caledonia/Papua.New.Guinea/Philippines/Qatar/Saudi.Arabia/Seychelles/Viet.Nam/Thailand/United.Arab.Emirates/Yemen,native,75,SL,2,2.888889,Browsing herbivore,benthic,Hard bottom,Medium,Day,1,26.96814,19,N,,,,,,,,,,,,,,,,,,,,,,,
Cleidopus gloriamaris,37259001,Actinopterygii,Beryciformes,Monocentridae,,Cleidopus,gloriamaris,Australia,Australian pineapplefish,SW,TL,0.01995,3.01,0,1.05948,FishBase,LWR estimates for this body shape,West/Southwest,,,,59.45,Australia,endemic,220,SL,3.6,3,benthic invertivore,Demersal,Hard bottom,Medium,Night,2,20.62506,59,N,,,,,,,,,,,,,,,,,,,,,,,
Cnidoglanis macrocephalus,37192001,Actinopterygii,Siluriformes,Plotosidae,,Cnidoglanis,macrocephalus,Australia,Estuary Cobbler,SW/TE,TL,0.00457,3.01,,,FishBase,LWR estimates for this (Sub)family-body shape,West/Southwest/NA,omnivore,,Data Deficient,54.36,Australia,endemic,910,SL,2.8,3,benthic invertivore,Demersal,Hard bottom,Medium,Night,1,19.33122,54,Y,C/R,,,,,430,,Y,,,,,,,,,,,,,,,
Coelorinchus mirus,37232003,Actinopterygii,Gadiformes,Macrouridae,Macrourinae,Coelorinchus,mirus,Australia,Gargoyle fish,SW/SE/TE,TL,0.00102,3.06,,,FishBase,LWR estimates for this body shape,West/Southwest,,,,42.4,Australia,endemic,350,TL,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,
Conger cinereus,37067015,Actinopterygii,Anguilliformes,Congridae,Congrinae,Conger,cinereus,Australia,Blacklip conger,NW/N/CS,FL,8.00E-04,3.12681,0,1,FishBase,Species specific,Pilbara,generalist carnivore,,,71.61,"American.Samoa/Australia/Bahrain/Sri.Lanka/Chile/Christmas.Island/Cocos.(Keeling).Islands/Comoros/Mayotte/Cook.Islands/Fiji/French.Polynesia/Guam/India/Indonesia/Japan/Jordan/Kuwait/Madagascar/Maldives/Mauritius/Mozambique/Oman/New.Caledonia/New.Zealand/Niue/Norfolk.Island/Northern.Mariana.Islands/Micronesia.(Federated.States.of)/Marshall.Islands/Palau/Pakistan/Papua.New.Guinea/Philippines/Qatar/R̩union/Saudi.Arabia/Seychelles/Viet.Nam/Somalia/South.Africa/Tonga/United.Arab.Emirates/Tuvalu/Tanzania,.United.Republic.of/Samoa",native,1400,TL,,,,,,,,,,,Y,B,,,,,,,,,,,,,,,,,,,,,,
Conger verreauxi,37067007,Actinopterygii,Anguilliformes,Congridae,Congrinae,Conger,verreauxi,Australia,Southern conger,SE/TE,TL,0.00049,3.23,0,1,FishBase,LWR estimates for this Genus-body shape,South-East/NA,,,Least Concern,84.61,Australia/New.Caledonia/New.Zealand,native,2000,TL,4.2,2,higher carnivore,benthic,Hard bottom,High,Day,1,14.67497,85,Y,B,,,,,,,,,,,,,,,,,,,,,,
Conger wilsoni,37067001,Actinopterygii,Anguilliformes,Congridae,Congrinae,Conger,wilsoni,Australia,Eastern conger,SE/SW/TE,TL,0.00185,3,,,FishBase,Species specific,South-East,,,,76.02,Australia/Maldives/Mozambique/New.Caledonia/New.Zealand/Norfolk.Island/R̩union/South.Africa,native,1500,TL,,,,,,,,,,,Y,B,,,,,,,,,,,,,,,,,,,,,,
