opcode,latitude_dd,longitude_dd,date_time,site,location,status,depth_m,successful_count,successful_length,observer_count,observer_length,forwards_habitat_image_saved,backwards_habitat_image_saved,successful_habitat_forward,successful_habitat_backward,observer_habitat_forward,observer_habitat_backward,left_cam,right_cam,rear_cam,raw_hdd_number,maxn_complete_date,maxn_checker,length_complete_date,comment
DM-BV-60,-20.4272250002355,117.172439999951,2023-09-27T10:11:42+08:00,,Dampier,Fished,24,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,27,28,1,2,12/02/2024,Alex McLennan,19/03/2024,snake
DM-BV-58,-20.4330100003797,117.180038333307,2023-09-27T10:17:09+08:00,,Dampier,Fished,19.2,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,29,30,2,2,13/02/2024,Alex McLennan,19/03/2024,
DM-BV-71,-20.4366250001237,117.170786666841,2023-09-27T10:21:24+08:00,,Dampier,Fished,23,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,31,32,3,2,,Alex McLennan,19/03/2024,guitarfish + sharks
DM-BV-62,-20.4472816664511,117.180985000411,2023-09-27T10:29:28+08:00,,Dampier,Fished,22.4,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,33,34,4,2,26/02/2024,Alex McLennan,19/03/2024,
DM-BV-C2,-20.4413849999216,117.19986999966,2023-09-27T10:41:18+08:00,,Dampier,Fished,22,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,35,44,5,2,07/03/2024,Alex McLennan,19/03/2024,
DM-BV-C3,-20.4358216666154,117.213834999759,2023-09-27T10:48:49+08:00,,Dampier,Fished,21.7,Yes,Yes,Ryan Simms,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,37,38,9,2,29/04/2024,Bri Beaulieu,03/05/2024,
DM-BV-C4,-20.4296549997624,117.213204999572,2023-09-27T10:59:42+08:00,,Dampier,Fished,25.4,Yes,Yes,Alex McLennan,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,39,40,7,2,31/01/2024,Claude Spencer,20/03/2024,Shipwreck 
DM-BV-C5,-20.4318733332646,117.198665000436,2023-09-27T11:06:53+08:00,,Dampier,Fished,20.2,Yes,Yes,Alex McLennan,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,41,42,8,2,29/01/2024,Claude Spencer,20/03/2024,Big male leopard shark Stegostoma tigrinum after period
DM-BV-C6,-20.4412800001974,117.243958333743,2023-09-27T12:35:00+08:00,,Dampier,Fished,19.9,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,27,28,1,2,01/02/2024,Alex McLennan,20/03/2024,
DM-BV-C7,-20.4339450002351,117.239665000234,2023-09-27T12:40:01+08:00,,Dampier,Fished,21.9,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,29,30,2,2,13/02/2024,Alex McLennan,20/03/2024,snake curling around bait
DM-BV-C8,-20.4265700002407,117.247550000369,2023-09-27T12:46:49+08:00,,Dampier,Fished,22.5,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,31,32,3,2,06/03/2024,Alex McLennan,20/03/2024,
DM-BV-C9,-20.4190483330169,117.258485000083,2023-09-27T12:53:46+08:00,,Dampier,Fished,24.7,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,33,34,4,2,20/02/2024,Alex McLennan,20/03/2024,
DM-BV-P1,-20.4119099998137,117.267370000302,2023-09-27T12:59:48+08:00,,Dampier,Fished,22.9,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,35,44,5,2,11/03/2024,Alex McLennan,20/03/2024,
DM-BV-P2,-20.4214866664231,117.271285000244,2023-09-27T13:06:04+08:00,,Dampier,Fished,22.9,Yes,Yes,Bri Beaulieu,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,37,38,9,2,12/03/2024,Alex McLennan,20/03/2024,meyeni ray
DM-BV-P3,-20.430180000318,117.273578333587,2023-09-27T13:12:24+08:00,,Dampier,Fished,23.1,Yes,Yes,Alex McLennan,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,39,40,7,2,24/01/2024,Bri Beaulieu,01/05/2024,"Snake, shovelnose AND wedgefish"
DM-BV-P4,-20.4352866664323,117.279821667033,2023-09-27T13:16:56+08:00,,Dampier,Fished,20.8,Yes,Yes,Alex McLennan,Ryan Simms,Yes,Yes,Yes,Yes,Nidhi Menon,Nidhi Menon,41,42,8,2,24/01/2024,Claude Spencer,21/03/2024,"Snake, sicklefin lemon, couple of odd S. ghobban"
