"campaignid","sample","level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","family","genus","species","number"
"2023-03_SwC_stereo-BRUVs","46","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",12
"2023-03_SwC_stereo-BRUVs","47","Biota","Bryozoa","Soft","Foliaceous",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","47","Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)",NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","47","Biota","Cnidaria","Hydroids",NA,NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","47","Biota","Sessile invertebrates",NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"2023-03_SwC_stereo-BRUVs","47","Biota","Sponges","Erect forms","Laminar",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","5","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","5","Biota","Macroalgae","Erect coarse branching","Green",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","5","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,6
"2023-03_SwC_stereo-BRUVs","5","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",20
"2023-03_SwC_stereo-BRUVs","5","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",6
"2023-03_SwC_stereo-BRUVs","6","Biota","Bryozoa","Soft","Foliaceous",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","6","Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)",NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","6","Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)",NA,NA,NA,NA,NA,NA,3
"2023-03_SwC_stereo-BRUVs","6","Biota","Cnidaria","Hydroids",NA,NA,NA,NA,NA,NA,NA,NA,3
"2023-03_SwC_stereo-BRUVs","6","Biota","Sessile invertebrates",NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"2023-03_SwC_stereo-BRUVs","6","Biota","Sponges","Erect forms","Simple",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","6","Biota","Sponges","Massive forms","Simple",NA,NA,NA,NA,NA,NA,NA,3
"2023-03_SwC_stereo-BRUVs","6","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","6","Physical","Substrate","Unconsolidated (soft)","Pebble / gravel","Gravel (2-10mm)",NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","7","Biota","Bryozoa","Hard","Fenestrate",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","7","Biota","Cnidaria","Hydroids",NA,NA,NA,NA,NA,NA,NA,NA,4
"2023-03_SwC_stereo-BRUVs","7","Biota","Macroalgae","Erect fine branching","Green",NA,NA,NA,NA,NA,NA,NA,11
"2023-03_SwC_stereo-BRUVs","7","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",1
"2023-03_SwC_stereo-BRUVs","7","Biota","Sessile invertebrates",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"2023-03_SwC_stereo-BRUVs","7","Biota","Sponges","Cup-likes","Cups","Incomplete cup / curled fan",NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","7","Biota","Sponges","Massive forms","Simple",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","7","Physical","Substrate","Consolidated (hard)","Rock",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","8","Biota","Macroalgae","Erect coarse branching","Brown",NA,NA,NA,NA,NA,NA,NA,5
"2023-03_SwC_stereo-BRUVs","8","Biota","Macroalgae","Erect fine branching","Green",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","8","Biota","Macroalgae","Erect fine branching","Red",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs","8","Biota","Macroalgae","Filamentous / filiform","Brown",NA,NA,NA,NA,NA,NA,NA,2
"2023-03_SwC_stereo-BRUVs","8","Biota","Macroalgae","Filamentous / filiform","Red",NA,NA,NA,NA,NA,NA,NA,4
"2023-03_SwC_stereo-BRUVs","8","Biota","Macroalgae","Large canopy-forming","Brown",NA,NA,NA,NA,"Lessoniaceae","Ecklonia","radiata",4
"2023-03_SwC_stereo-BRUVs","8","Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",12
"2023-03_SwC_stereo-BRUVs",NA,"Biota","Macroalgae","Erect coarse branching","Red",NA,NA,NA,NA,NA,NA,NA,3
"2023-03_SwC_stereo-BRUVs",NA,"Biota","Macroalgae","Erect fine branching","Green",NA,NA,NA,NA,NA,NA,NA,4
"2023-03_SwC_stereo-BRUVs",NA,"Biota","Seagrasses","Strap-like leaves",NA,NA,NA,NA,NA,"Cymodoceaceae","Thalassodendron","spp",1
"2023-03_SwC_stereo-BRUVs",NA,"Biota","Sponges","Massive forms","Balls",NA,NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs",NA,"Physical","Substrate","Unconsolidated (soft)","Pebble / gravel","Pebble (10-64mm)",NA,NA,NA,NA,NA,NA,1
"2023-03_SwC_stereo-BRUVs",NA,"Physical","Substrate","Unconsolidated (soft)","Sand / mud (<2mm)","Coarse sand (with shell fragments)",NA,NA,NA,NA,NA,NA,16
