"","australian_source","caab","class","order","family","subfamily","genus","species","scientific_name","australian_common_name","global_region","marine_region","global_source","fb_code","fb_length_at_maturity_cm","fb_length_weight_measure","fb_a","fb_b","fb_a_ll","fb_b_ll","fb_length_weight_source","fb_vulnerability","fb_countries","fb_status","length_max_cm","length_max_type","length_max_source","fb_trophic_level","fb_trophic_level_se","fb_trophic_level_source","foa_min_depth","foa_max_depth","rls_trophic_group","rls_water_column","rls_substrate_type","rls_thermal_niche","local_source","epbc_threat_status","iucn_ranking","fishing_mortality","fishing_type","min_legal_nt","max_legal_nt","min_legal_wa","max_legal_wa","min_legal_qld","max_legal_qld","min_legal_nsw","max_legal_nsw","min_legal_vic","max_legal_vic","min_legal_sa","max_legal_sa","min_legal_tas","max_legal_tas"
"216","CAAB","37311042","Actinopterygii","Perciformes","Serranidae",NA,"Epinephelus","radiatus","Epinephelus radiatus","Radiant Rockcod","Australia","TE, CS","FishBase","7360",NA,"TL",0.0238,3.172,0,1,"Species specific",54.16,"Oman, Papua New Guinea, La Reunion Is., Saudi Arabia, Somalia, South Africa, Chagos Is., Yemen, Eritrea, Andaman Is., Australia, Myanmar, Sri Lanka, Chinese Taipei, Comoros, Djibouti, Hong Kong, India, Israel, Japan, Ryukyu Is., Jordan, Mauritius, Mozambique","native",70,NA,"Fishbase","4.0","0.66","based on food items",NA,NA,NA,NA,NA,NA,"Harvey et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","CAAB","37311043","Actinopterygii","Perciformes","Serranidae",NA,"Epinephelus","latifasciatus","Epinephelus latifasciatus","Striped Grouper","Australia","NW, N","FishBase","7350",NA,"TL",0.00965,3.088,0,1,"Species specific",76.52,"Australia, Bahrain, Myanmar, Sri Lanka, China, Chinese Taipei, Djibouti, Hong Kong, India, Indonesia, Iran, Japan, Korea (North), Korea (South), Kuwait, Malaysia, Oman, Pakistan, Qatar, Saudi Arabia, Singapore, Viet Nam, Sudan, Thailand, United Arab Em., Egypt, Eritrea, Ogasawara Is.","native",137,"SL","Fishbase","4.0","0.65","based on food items","20","240",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","CAAB","37311044","Actinopterygii","Perciformes","Serranidae",NA,"Chromileptes","altivelis","Chromileptes altivelis","Barramundi Cod","Australia","NW, N, CS, TE","FishBase","6457",NA,"FL",0.0139,3.27,0,1,"Species specific",33.52,"Australia, Cambodia, Sri Lanka, China, Chinese Taipei, Fiji, Guam, Hong Kong, India, Indonesia, Japan, Ryukyu Is., Kenya, Malaysia, Mozambique, New Caledonia, Vanuatu, North Marianas, Palau, Papua New Guinea, Philippines, Singapore, Viet Nam, Thailand, Hawaii, Andaman Is., Ogasawara Is.","native",70,"TL","Fishbase","4.5","0.80","based on food items","1","40","higher carnivore","Demersal","Hard bottom",26.52806,"Harvey et al 2020",NA,NA,"Y","C/R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","CAAB","37311045","Actinopterygii","Perciformes","Serranidae",NA,"Cephalopholis","sonnerati","Cephalopholis sonnerati","Tomato Rockcod","Australia","NW, N, CS, TE","FishBase","6454",NA,"TL",0.01938,2.9864,0,1,"Species specific",42.8,"American Samoa, Australia, Solomon Is., Cambodia, Sri Lanka, China, Chinese Taipei, Christmas I., Comoros, Mayotte, Cook Is., Fiji, Djibouti, Kiribati, Guam, Hong Kong, India, Indonesia, Japan, Ryukyu Is., Kenya, Madagascar, Malaysia, Maldives, Mauritius, Mozambique, Oman, New Caledonia, North Marianas, Caroline I., Micronesia, Marshall Is., Palau, Papua New Guinea, Philippines, Timor-Leste, La Reunion Is., Seychelles, Viet Nam, Somalia, South Africa, Thailand, Tonga, Tanzania, Samoa, Yemen, Andaman Is., Rodriguez, Ogasawara Is., Socotra Arch.","native",57,"TL","Fishbase","3.8","0.60","based on food items","10","150","higher carnivore","Demersal","Hard bottom",27.36,"Harvey et al 2020",NA,"Least Concern","Y","B/C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","CAAB","37311046","Actinopterygii","Perciformes","Serranidae",NA,"Epinephelus","epistictus","Epinephelus epistictus","Dotted Grouper","Australia","NW, N","FishBase","7341",NA,"TL",0.0148,2.8425,0,1,"Species specific",52,"Australia, Bahrain, China, Chinese Taipei, Djibouti, Hong Kong, India, Indonesia, Iran, Iraq, Israel, Japan, Ryukyu Is., Jordan, Kenya, Korea (South), Kuwait, Mozambique, Oman, Pakistan, Papua New Guinea, Qatar, Saudi Arabia, Viet Nam, Somalia, South Africa, Sudan, United Arab Em., Egypt, Tanzania, Yemen, Eritrea, Ogasawara Is., Socotra Arch.","native",80,"TL","Fishbase","4.0","0.67","based on food items","70","290",NA,NA,NA,NA,"Harvey et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","CAAB","37311047","Actinopterygii","Perciformes","Serranidae",NA,"Epinephelus","polyphekadion","Epinephelus polyphekadion","Camouflage Grouper","Australia","NW, N, CS","FishBase","6473",NA,"TL",0.0124,3.057,0,1,"Species specific",42.11,"American Samoa, Australia, Solomon Is., China, Chinese Taipei, Cocos Is. (Keel), Mayotte, Fiji, Tuamotu Is., Marquesas Is., French Polynesia, Bassas da India, Djibouti, Kiribati, Guam, Hong Kong, India, Indonesia, Israel, Japan, Ryukyu Is., Jordan, Madagascar, Maldives, Mozambique, New Caledonia, Vanuatu, North Marianas, US Minor Is., Caroline I., Micronesia, Marshall Is., Palau, Papua New Guinea, Philippines, Timor-Leste, La Reunion Is., Saudi Arabia, Seychelles, Somalia, Sudan, Tonga, Tuvalu, Egypt, Chagos Is., Tanzania, Wake I., Wallis Futuna, Samoa, Andaman Is., Ogasawara Is., Lord Howe I.","native",90,"SL","Fishbase","4.0","0.5","based on diet studies","1","46","higher carnivore","Demersal","Hard bottom",24.2424,"Harvey et al 2020",NA,"Vulnerable","Y","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","CAAB","37311055","Actinopterygii","Perciformes","Callanthiidae",NA,"Callanthias","australis","Callanthias australis","Splendid Perch","Australia","SW, SE, CS, TE","FishBase","15302",NA,NA,0.00977,3.08,NA,NA,"Based on LWR estimates for this Sub-family-body shape.",43.91,"Australia, New Caledonia, New Zealand, Kermadec Is.","native",49,NA,"Fishbase","3.1","0.30","based on food items","20","365","planktivore","pelagic site attached","Hard bottom",18.205,"Harvey et al 2020",NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","CAAB","37311057","Actinopterygii","Perciformes","Serranidae",NA,"Epinephelus","tauvina","Epinephelus tauvina","Greasy Rockcod","Australia","NW, TE, CS","FishBase","4461",61.0999984741211,"TL",0.0144,3.024,0,1.01494997739792,"Species specific",59.27,"American Samoa, Australia, Solomon Is., Sri Lanka, China, Chinese Taipei, Christmas I., Cocos Is. (Keel), Comoros, Mayotte, Cook Is., Fiji, Tahiti, Tuamotu Is., Marquesas Is., French Polynesia, Djibouti, Kiribati, Guam, Hong Kong, India, Indonesia, Iraq, Israel, Japan, Ryukyu Is., Jordan, Kenya, Madagascar, Malaysia, Maldives, Mauritius, Mozambique, New Caledonia, Vanuatu, Niue, North Marianas, US Minor Is., Micronesia, Marshall Is., Palau, Pakistan, Papua New Guinea, Philippines, Pitcairn, Timor-Leste, La Reunion Is., Saudi Arabia, Seychelles, Viet Nam, Somalia, South Africa, Sudan, Thailand, Tonga, Turkey, Tuvalu, Egypt, Chagos Is., Cargados Carajos, Tanzania, Wake I., Samoa, Yemen, Eritrea, Andaman Is., Rodriguez, Ogasawara Is., Lord Howe I.","native",100,NA,"Fishbase","4.1","0.68","based on food items",NA,NA,"higher carnivore","Demersal","Hard bottom",25.29325,"Harvey et al 2020",NA,"Data Deficient","Y","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","CAAB","37311059","Actinopterygii","Perciformes","Serranidae",NA,"Epinephelus","insularis","Epinephelus insularis","brownspotted grouper","Australia","NW, N, CS","FishBase","69480",NA,NA,0.01175,3.04,NA,NA,"Based on LWR estimates for this Genus-body shape.",45.77,"Indonesia, Japan, New Caledonia, Micronesia",NA,80,"TL","Fishes of Australia","3.9","0.5","based on size and trophs of closest relative","4","280",NA,NA,NA,NA,"Harvey et al 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","CAAB","37311061","Actinopterygii","Perciformes","Serranidae",NA,"Epinephelus","lanceolatus","Epinephelus lanceolatus","Queensland Groper","Australia","NW, SW, N, TE, CS","FishBase","6468",NA,"TL",0.0173,3,0,1,"Species specific",90,"American Samoa, Australia, Sri Lanka, China, Chinese Taipei, Christmas I., Mayotte, Cook Is., Fiji, Tuamotu Is., Marquesas Is., French Polynesia, Bassas da India, Djibouti, Kiribati, Guam, Hong Kong, India, Indonesia, Japan, Ryukyu Is., Johnston I., Kenya, Madagascar, Malaysia, Maldives, Mauritius, Mozambique, Oman, New Caledonia, Vanuatu, New Zealand, North Marianas, Micronesia, Marshall Is., Palau, Pakistan, Papua New Guinea, Philippines, Pitcairn, Timor-Leste, La Reunion Is., Seychelles, Singapore, Viet Nam, Somalia, South Africa, Thailand, Tonga, Tuvalu, Tanzania, Hawaii, Wake I., Samoa, Yemen, Eritrea, Andaman Is., Ogasawara Is., Socotra Arch.","native",270,"TL","Fishbase","4.0","0.60","based on food items","1","100","higher carnivore","Demersal","Hard bottom",NA,"Harvey et al 2020",NA,"Data Deficient","Y","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","CAAB","37311065","Actinopterygii","Perciformes","Serranidae",NA,"Epinephelus","melanostigma","Epinephelus melanostigma","Oneblotch Grouper","Australia","NW","FishBase","6471",NA,"FL",0.0119,3.1,0,1,"Species specific",41.96,"Australia, Solomon Is., Chinese Taipei, Mayotte, Cook Is., Kiribati, Hong Kong, India, Indonesia, Japan, Ryukyu Is., Madagascar, Maldives, Mauritius, Mozambique, North Marianas, US Minor Is., Micronesia, Marshall Is., Palau, Papua New Guinea, Admiralty Is., Philippines, Seychelles, South Africa, Tokelau, Chagos Is., Wallis Futuna, Samoa, Andaman Is., Ogasawara Is., Lord Howe I.","native",54.9000015258789,"TL","Fishbase","4.0","0.67","based on food items","0","30","higher carnivore","Demersal","Hard bottom",NA,"Harvey et al 2020",NA,"Least Concern","Y","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","CAAB","37311066","Actinopterygii","Perciformes","Serranidae",NA,"Epinephelus","corallicola","Epinephelus corallicola","Coral Grouper","Australia","NW, CS, N, TE","FishBase","6466",NA,"TL",0.01363,3,0,1,"Species specific",39,"Australia, Solomon Is., Brunei Darsm, China, Chinese Taipei, Christmas I., Fiji, Guam, Hong Kong, India, Indonesia, Japan, Ryukyu Is., Malaysia, New Caledonia, North Marianas, Micronesia, Palau, Papua New Guinea, Philippines, Timor-Leste, Singapore, Viet Nam, Thailand","native",49,"TL","Fishbase","3.8","0.5","based on size and trophs of closest relative","2","30","higher carnivore","Demersal","Hard bottom",26.19233,"Harvey et al 2020",NA,"Least Concern","Y","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","CAAB","37311068","Actinopterygii","Perciformes","Serranidae",NA,"Epinephelus","tukula","Epinephelus tukula","Potato Rockcod","Australia","NW, N, CS","FishBase","5525",NA,"TL",0.106,2.56,0,1.01344501972198,"Species specific",65.84,"Australia, Sri Lanka, Chinese Taipei, Christmas I., Comoros, Mayotte, Bassas da India, Djibouti, Hong Kong, India, Indonesia, Israel, Japan, Ryukyu Is., Jordan, Kenya, Madagascar, Maldives, Mauritius, Mozambique, Oman, Palau, Pakistan, Papua New Guinea, Timor-Leste, La Reunion Is., Saudi Arabia, Seychelles, Somalia, South Africa, Sudan, Egypt, Tanzania, Yemen, Eritrea, Socotra Arch.","native",200,"TL","Fishbase","4.2","0.68","based on food items","5","150",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern","Y","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","CAAB","37311070","Actinopterygii","Perciformes","Serranidae",NA,"Epinephelus","coeruleopunctatus","Epinephelus coeruleopunctatus","Whitespotted Grouper","Australia","TE, CS","FishBase","6440",NA,"TL",0.0214,2.907,0,1,"Species specific",50.4,"Australia, Bahrain, Solomon Is., Sri Lanka, Chinese Taipei, Mayotte, Fiji, Kiribati, Hong Kong, India, Indonesia, Iran, Iraq, Japan, Kenya, Kuwait, Madagascar, Malaysia, Maldives, Mauritius, Mozambique, Oman, New Caledonia, Vanuatu, Micronesia, Marshall Is., Palau, Papua New Guinea, Philippines, Timor-Leste, Qatar, La Reunion Is., Saudi Arabia, Seychelles, Viet Nam, Somalia, South Africa, Thailand, Tonga, United Arab Em., Chagos Is., Tanzania, Wake I., Andaman Is., Rodriguez, Ogasawara Is.","native",76,"TL","Fishbase","3.7","0.5","based on diet studies","2","65",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","CAAB","37311073","Actinopterygii","Perciformes","Serranidae",NA,"Epinephelus","timorensis","Epinephelus timorensis","Yellowspotted Grouper","Australia","NW","FishBase","7367",NA,"FL",0.0174,2.94,0,1,"Species specific",48.4,"American Samoa, Australia, Fiji, Kiribati, Samoa","native",71,NA,"Fishbase","3.9","0.5","based on size and trophs of closest relative","73","210",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","CAAB","37311077","Actinopterygii","Perciformes","Serranidae",NA,"Epinephelus","daemelii","Epinephelus daemelii","Black Rockcod","Australia","SE, TE, CS","FishBase","7338",NA,NA,0.01175,3.04,NA,NA,"Based on LWR estimates for this Genus-body shape.",90,"Australia, New Zealand, Kermadec Is., Norfolk I., Lord Howe I.","native",200,"TL","Fishbase","4.0","0.70","based on food items","3","50","higher carnivore","Demersal","Hard bottom",21.32675,"Harvey et al 2020","Vulnerable","Near Threatened","Y","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","CAAB","37311078","Actinopterygii","Perciformes","Serranidae",NA,"Plectropomus","leopardus","Plectropomus leopardus","Common Coral Trout","Australia","NW, N, CS","FishBase","4826",36.625,"TL",0.02048,2.8963,0,1.03106400966644,"Species specific",51.04,"American Samoa, Australia, Brunei Darsm, China, Chinese Taipei, Cocos Is. (Keel), Fiji, Hong Kong, Indonesia, Japan, Korea (South), Malaysia, Mozambique, New Caledonia, North Marianas, Micronesia, Palau, Papua New Guinea, Philippines, Singapore, Viet Nam, Thailand, Tonga, Wallis Futuna, Samoa","native",120,"SL","Fishbase","4.4","0.7","based on diet studies","3","100","higher carnivore","pelagic site attached","Hard bottom",25.79729,"Harvey et al 2020",NA,"Least Concern","Y","C/R",NA,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","CAAB","37311079","Actinopterygii","Perciformes","Serranidae",NA,"Plectropomus","laevis","Plectropomus laevis","Bluespotted Coral Trout","Australia","CS","FishBase","7372",NA,"TL",0.0198,3,0,1.0340633392334,"Species specific",61.03,"American Samoa, Australia, China, Chinese Taipei, Comoros, Mayotte, Cook Is., Fiji, Tuamotu Is., French Polynesia, Bassas da India, Guam, Hong Kong, Indonesia, Japan, Ryukyu Is., Kenya, Madagascar, Malaysia, Maldives, Mauritius, Mozambique, New Caledonia, Vanuatu, North Marianas, Micronesia, Marshall Is., Palau, Papua New Guinea, Philippines, Pitcairn, Timor-Leste, La Reunion Is., Seychelles, Viet Nam, Somalia, Tonga, Chagos Is., Cargados Carajos, Tanzania, Andaman Is., Rodriguez, Ogasawara Is.","native",125,"TL","Fishbase","4.1","0.57","based on food items","4","90","higher carnivore","Demersal","Hard bottom",26.21558,"Harvey et al 2020",NA,"Least Concern","Y","C/R",NA,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","CAAB","37311081","Actinopterygii","Perciformes","Serranidae",NA,"Plectropomus","areolatus","Plectropomus areolatus","Passionfruit Coral Trout","Australia","CS, TE, NW","FishBase","6082",36.7666664123535,NA,0.01148,3.04,NA,NA,"Based on LWR estimates for this Sub-family-body shape.",36.3,"American Samoa, Australia, China, Chinese Taipei, Cocos Is. (Keel), Mayotte, Fiji, Bassas da India, Djibouti, Kiribati, Hong Kong, India, Indonesia, Israel, Japan, Ryukyu Is., Jordan, Maldives, Mozambique, New Caledonia, Micronesia, Marshall Is., Palau, Papua New Guinea, Philippines, Timor-Leste, Saudi Arabia, Viet Nam, Somalia, Sudan, Tuvalu, Egypt, Chagos Is., Tanzania, Samoa, Yemen, Andaman Is., Socotra Arch.","native",80,"TL","Fishbase","4.5","0.80","based on food items","1","20","higher carnivore","Demersal","Hard bottom",26.83467,"Harvey et al 2020",NA,"Vulnerable","Y","C/R",NA,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","CAAB","37311082","Actinopterygii","Perciformes","Serranidae",NA,"Cephalopholis","argus","Cephalopholis argus","Peacock Rockcod","Australia","SW, N, CS, NW, TE","FishBase","6396",NA,"TL",0.0119,3.13,0,1,"Species specific",44,"American Samoa, Australia, Bangladesh, Solomon Is., Brunei Darsm, Myanmar, Sri Lanka, China, Chinese Taipei, Christmas I., Cocos Is. (Keel), Comoros, Mayotte, Cook Is., Fiji, Tahiti, Tuamotu Is., Marquesas Is., French Polynesia, Bassas da India, Djibouti, Kiribati, Guam, Hong Kong, India, Indonesia, Israel, Japan, Ryukyu Is., Jordan, Kenya, Madagascar, Malaysia, Maldives, Mauritius, Mozambique, Oman, New Caledonia, Vanuatu, Niue, North Marianas, US Minor Is., Caroline I., Micronesia, Marshall Is., Palau, Papua New Guinea, Philippines, Pitcairn, Timor-Leste, La Reunion Is., Seychelles, Singapore, Viet Nam, Somalia, South Africa, Sudan, Thailand, Tonga, Tuvalu, Egypt, Chagos Is., Tanzania, Hawaii, Wake I., Wallis Futuna, Samoa, Yemen, Eritrea, Andaman Is., Rodriguez, Ogasawara Is., Lord Howe I., Socotra Arch.","native",60,"TL","Fishbase","4.5","0.0","based on diet studies","1","40","higher carnivore","Demersal","Hard bottom",25.18027,"Harvey et al 2020",NA,"Least Concern","Y","C/R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","CAAB","37311083","Actinopterygii","Perciformes","Serranidae",NA,"Cephalopholis","miniata","Cephalopholis miniata","Coral Rockcod","Australia","NW, N, CS, TE","FishBase","6450",NA,"TL",0.00227,3.54,0,1,"Species specific",65.04,"American Samoa, Australia, Solomon Is., Sri Lanka, China, Chinese Taipei, Christmas I., Comoros, Mayotte, Fiji, Bassas da India, Djibouti, Kiribati, Guam, India, Indonesia, Israel, Japan, Ryukyu Is., Jordan, Kenya, Madagascar, Malaysia, Maldives, Mauritius, Mozambique, Oman, New Caledonia, North Marianas, Caroline I., Micronesia, Marshall Is., Palau, Papua New Guinea, Philippines, Timor-Leste, La Reunion Is., Saudi Arabia, Seychelles, Viet Nam, Somalia, South Africa, Sudan, Thailand, Tonga, Tuvalu, Egypt, Chagos Is., Tanzania, Wallis Futuna, Samoa, Yemen, Eritrea, Andaman Is., Rodriguez, Ogasawara Is., Lord Howe I., Socotra Arch.","native",50,"TL","Fishbase","4.3","0.5","based on diet studies","2","150","higher carnivore","Demersal","Hard bottom",24.20927,"Harvey et al 2020",NA,"Least Concern","Y","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","CAAB","37311085","Actinopterygii","Perciformes","Serranidae",NA,"Anyperodon","leucogrammicus","Anyperodon leucogrammicus","Whitelined Rockcod","Australia","NW, CS","FishBase","4922",NA,"TL",0.04,2.65,0,1,"Species specific",46,"Australia, Cambodia, China, Chinese Taipei, Christmas I., Cocos Is. (Keel), Mayotte, Cook Is., Fiji, Kiribati, Hong Kong, India, Indonesia, Japan, Ryukyu Is., Madagascar, Malaysia, Maldives, Mauritius, Mozambique, Oman, New Caledonia, North Marianas, Micronesia, Marshall Is., Palau, Papua New Guinea, Philippines, Timor-Leste, La Reunion Is., Saudi Arabia, Seychelles, Viet Nam, Somalia, Sudan, Thailand, Tonga, Egypt, Chagos Is., Tanzania, Samoa, Eritrea, Andaman Is., Rodriguez, Ogasawara Is.","native",65,"TL","Fishbase","3.9","0.62","based on food items","5","80","higher carnivore","Demersal","Hard bottom",27.08925,"Harvey et al 2020",NA,NA,"Y","R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","CAAB","37311086","Actinopterygii","Perciformes","Serranidae",NA,"Epinephelus","undulatostriatus","Epinephelus undulatostriatus","Maori Rockcod","Australia","CS, SW, SE, TE","FishBase","7371",NA,NA,0.01175,3.04,NA,NA,"Based on LWR estimates for this Genus-body shape.",44.4,"Australia, Philippines, Viet Nam","endemic",61,"TL","Fishbase","3.9","0.5","based on size and trophs of closest relative","10","80","higher carnivore","Demersal","Hard bottom",20.48935,"Harvey et al 2020",NA,"Least Concern","Y","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","CAAB","37311090","Actinopterygii","Perciformes","Serranidae",NA,"Acanthistius","ocellatus","Acanthistius ocellatus","Eastern Wirrah","Australia","SE, TE","FishBase","15036",NA,NA,0.01349,3,NA,NA,"Based on LWR estimates for this Sub-family-body shape.",35,"Australia, Lord Howe I.","native",60,"TL","BRUV Expert","4.1","0.7","based on size and trophs of closest relative","0","100","higher carnivore","Demersal","Hard bottom",19.64441,"Harvey et al 2020",NA,"Least Concern","Y","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","CAAB","37311095","Actinopterygii","Perciformes","Serranidae",NA,"Caprodon","longimanus","Caprodon longimanus","Longfin Perch","Australia","SW, TE","FishBase","15086",NA,NA,0.01349,3,NA,NA,"Based on LWR estimates for this Sub-family-body shape.",34.14,"Australia, Chile, Easter I., Juan Fernández, Desventuradas Is, Korea (South), New Zealand, Kermadec Is., Hawaii","native",60,"TL","Fishes of Australia","3.9","0.63","based on food items","1","400",NA,NA,NA,NA,"Harvey et al 2020",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","CAAB","37311100","Actinopterygii","Perciformes","Serranidae",NA,"Epinephelides","armatus","Epinephelides armatus","Breaksea Cod","Australia","NW, SW","FishBase","15101",28.1000003814697,"TL",0.01058,3.1215,0,1,"Species specific",55.26,"Australia","endemic",56,"TL","Fishbase","3.7","0.5","based on size and trophs of closest relative","0","100","higher carnivore","Demersal","Hard bottom",20.76187,"Harvey et al 2020",NA,"Near Threatened","Y","C/R",NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","CAAB","37311131","Actinopterygii","Perciformes","Serranidae",NA,"Acanthistius","cinctus","Acanthistius cinctus","Yellowbanded Wirrah","Australia","TE","FishBase","12690",NA,NA,0.01349,3,NA,NA,"Based on LWR estimates for this Sub-family-body shape.",40,"Australia, New Zealand, Kermadec Is., Norfolk I., Lord Howe I.","native",60,"TL","Fishes of Australia","4.1","0.7","based on size and trophs of closest relative","0","30","higher carnivore","Demersal","Hard bottom",21.41048,"Harvey et al 2020",NA,"Least Concern","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","CAAB","37311134","Actinopterygii","Perciformes","Serranidae",NA,"Aethaloperca","rogaa","Aethaloperca rogaa","Redmouth Rockcod","Australia","NW, N, CS","FishBase","6441",NA,"SL",0.0299,3,NA,NA,"Species specific",44,"Australia, Bahrain, Solomon Is., Brunei Darsm, Sri Lanka, China, Chinese Taipei, Christmas I., Comoros, Mayotte, Fiji, Bassas da India, Djibouti, Kiribati, Guam, Hong Kong, India, Indonesia, Iran, Iraq, Israel, Japan, Ryukyu Is., Jordan, Kenya, Kuwait, Madagascar, Malaysia, Maldives, Mauritius, Mozambique, Oman, New Caledonia, Vanuatu, North Marianas, Micronesia, Marshall Is., Palau, Pakistan, Papua New Guinea, Philippines, Timor-Leste, Qatar, La Reunion Is., Saudi Arabia, Seychelles, Singapore, Viet Nam, Somalia, South Africa, Sudan, Thailand, United Arab Em., Egypt, Chagos Is., Tanzania, Yemen, Eritrea, Andaman Is., Ogasawara Is., Socotra Arch.","native",60,"TL","Fishbase","4.2","0.71","based on food items","3","60","higher carnivore","Demersal","Hard bottom",26.704,"Harvey et al 2020",NA,NA,"Y","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","CAAB","37311140","Actinopterygii","Perciformes","Serranidae",NA,"Cephalopholis","sexmaculata","Cephalopholis sexmaculata","Sixband Rockcod","Australia","CS","FishBase","6453",NA,NA,0.01259,3.04,NA,NA,"Based on LWR estimates for this Genus-body shape.",33.23,"American Samoa, Australia, Solomon Is., Sri Lanka, Chinese Taipei, Christmas I., Comoros, Mayotte, Cook Is., Fiji, Tahiti, Tuamotu Is., Marquesas Is., French Polynesia, Djibouti, Kiribati, Guam, India, Indonesia, Japan, Ryukyu Is., Jordan, Kenya, Madagascar, Malaysia, Maldives, Mauritius, Mozambique, Oman, New Caledonia, North Marianas, Caroline I., Micronesia, Marshall Is., Palau, Pakistan, Papua New Guinea, Philippines, Timor-Leste, La Reunion Is., Saudi Arabia, Seychelles, Viet Nam, Somalia, South Africa, Sudan, Tonga, Tuvalu, Egypt, Chagos Is., Tanzania, Samoa, Yemen, Eritrea, Andaman Is., Ogasawara Is., Lord Howe I., Socotra Arch.","native",67,"TL","Fishes of Australia","4.0","0.66","based on food items","6","150","higher carnivore","Demersal","Hard bottom",NA,"Harvey et al 2020",NA,"Least Concern","Y","C/R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","CAAB","37311145","Actinopterygii","Perciformes","Serranidae",NA,"Epinephelus","cyanopodus","Epinephelus cyanopodus","Purple Rockcod","Australia","CS, TE","FishBase","5349",NA,"TL",0.0135,3.061,0,1,"Species specific",73.2,"Australia, Solomon Is., China, Chinese Taipei, Fiji, Kiribati, Hong Kong, Indonesia, Japan, Ryukyu Is., Malaysia, New Caledonia, Norfolk I., Micronesia, Marshall Is., Palau, Papua New Guinea, Philippines, Viet Nam, Thailand, Tonga, Tuvalu, Ogasawara Is., Lord Howe I.","native",122,"TL","Fishbase","4.1","0.5","based on diet studies","2","150","higher carnivore","Demersal","Hard bottom",23.641,"Harvey et al 2020",NA,"Least Concern","Y","C/R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","CAAB","37311146","Actinopterygii","Perciformes","Serranidae",NA,"Hyporthodus","darwinensis","Hyporthodus darwinensis","Darwin Grouper","Australia","N","FishBase","7339",NA,NA,0.0138,3.04,NA,NA,"Based on LWR estimates for this Genus-body shape.",46.11,"Australia","native",56,NA,"Fishes of Australia","3.8","0.7","based on size and trophs of closest relative","107",NA,NA,NA,NA,NA,"Harvey et al 2020",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
